1980,
1981,-0.000884314384129059
1982,-0.0287954133172029
1983,0.00775018202277273
1984,0.0150512635992437
1985,0.00617120049466049
1986,0.00111040867598309
1987,-0.00754795054288571
1988,0.00550278202981902
1989,-0.00257284438788257
1990,-0.00397129111728423
1991,-0.00961089815349281
1992,0.0110360842101021
1993,-0.00328254987123979
1994,0.000324648846007713
1995,-0.00171574596485664
1996,0.00776682440268433
1997,0.00726709260256659
1998,0.0150677841876194
1999,0.0194517214829257
2000,0.00803833629187558
2001,0.000308920298233949
2002,0.00506758683345301
2003,0.0101561283591836
2004,0.0138142636886764
2005,0.0093728917805215
2006,-0.000284917028133873
2007,-0.00421818608739524
2008,-0.00928635637908109
2009,-0.00409997440946666
2010,0.0129348488747612
2011,-0.00307124807976167
2012,-0.00533167793777221
2013,-0.00220204625576166
2014,-0.00345301324593543
2015,0.000669119148042395
2016,-0.00718523829291034
2017,-0.00187028849219222
2018,0.000112449855582719
